Date,Subjectivity,Objectivity,Positive,Negative,Neutral,Open,High,Low,Close,Volume,Adj Close,Month,Quarter,Label
2008-12-18,50.0,50.0,10.0,40.0,50.0,8823.94043,8883.360352,8527.410156,8604.990234,274080000.0,8604.990234,12.0,4.0,0
2008-12-19,13.333333333299999,86.6666666667,6.666666666669999,6.666666666669999,86.6666666667,8606.5,8787.230469,8550.429688,8579.110352,550150000.0,8579.110352,12.0,4.0,0
2008-12-22,44.4444444444,55.5555555556,11.1111111111,33.3333333333,55.5555555556,8573.370117,8601.410156,8372.019531,8519.69043,211090000.0,8519.69043,12.0,4.0,0
2008-12-23,45.4545454545,54.5454545455,9.090909090910001,36.3636363636,54.5454545455,8518.650391,8604.120117,8391.299805,8419.490234,174640000.0,8419.490234,12.0,4.0,0
2008-12-24,57.1428571429,42.8571428571,42.8571428571,14.2857142857,42.8571428571,8416.860352,8498.5,8416.860352,8468.480469,66930000.0,8468.480469,12.0,4.0,1
2008-12-26,42.8571428571,57.1428571429,28.5714285714,14.2857142857,57.1428571429,8468.709961,8533.070312,8461.780273,8515.549805,86760000.0,8515.549805,12.0,4.0,1
2008-12-29,60.0,40.0,40.0,20.0,40.0,8515.870117,8530.679688,8364.05957,8483.929688,153730000.0,8483.929688,12.0,4.0,0
2008-12-30,38.8888888889,61.111111111099994,5.55555555556,33.3333333333,61.111111111099994,8487.509766,8675.240234,8487.509766,8668.389648,162560000.0,8668.389648,12.0,4.0,1
2008-12-31,46.1538461538,53.8461538462,7.692307692310001,38.4615384615,53.8461538462,8666.480469,8842.660156,8664.889648,8776.389648,226760000.0,8776.389648,12.0,4.0,1
2009-01-02,42.8571428571,57.1428571429,14.2857142857,28.5714285714,57.1428571429,8772.25,9065.280273,8760.780273,9034.69043,213700000.0,9034.69043,1.0,1.0,1
2009-01-05,19.0476190476,80.95238095239999,4.7619047619,14.2857142857,80.95238095239999,9027.129883,9034.370117,8892.360352,8952.889648,233760000.0,8952.889648,1.0,1.0,0
2009-01-06,52.941176470600006,47.058823529399994,23.529411764699997,29.4117647059,47.058823529399994,8954.570312,9088.05957,8940.950195,9015.099609,215410000.0,9015.099609,1.0,1.0,1
2009-01-07,56.25,43.75,12.5,43.75,43.75,8996.94043,8996.94043,8719.919922,8769.700195,266710000.0,8769.700195,1.0,1.0,0
2009-01-08,44.4444444444,55.5555555556,22.2222222222,22.2222222222,55.5555555556,8769.94043,8770.019531,8651.19043,8742.459961,226620000.0,8742.459961,1.0,1.0,0
2009-01-09,33.3333333333,66.6666666667,4.7619047619,28.5714285714,66.6666666667,8738.799805,8769.620117,8576.959961,8599.179688,204300000.0,8599.179688,1.0,1.0,0
2009-01-12,34.7826086957,65.21739130430001,8.69565217391,26.0869565217,65.21739130430001,8599.259766,8602.599609,8421.080078,8473.969727,273550000.0,8473.969727,1.0,1.0,0
2009-01-13,40.0,60.0,20.0,20.0,60.0,8474.610352,8522.080078,8376.879883,8448.55957,304050000.0,8448.55957,1.0,1.0,0
2009-01-14,50.0,50.0,0.0,50.0,50.0,8446.009766,8446.25,8140.720215,8200.139648,355050000.0,8200.139648,1.0,1.0,0
2009-01-15,53.8461538462,46.1538461538,23.0769230769,30.7692307692,46.1538461538,8196.240234,8286.160156,7995.129883,8212.490234,436660000.0,8212.490234,1.0,1.0,1
2009-01-16,35.2941176471,64.7058823529,17.6470588235,17.6470588235,64.7058823529,8215.669922,8341.200195,8109.339844,8281.219727,439360000.0,8281.219727,1.0,1.0,1
2009-01-20,45.4545454545,54.5454545455,9.090909090910001,36.3636363636,54.5454545455,8279.629883,8291.980469,7939.930176000001,7949.089844,419200000.0,7949.089844,1.0,1.0,0
2009-01-21,46.1538461538,53.8461538462,7.692307692310001,38.4615384615,53.8461538462,7949.169922,8243.549805,7936.189941,8228.099609,410040000.0,8228.099609,1.0,1.0,1
2009-01-22,29.4117647059,70.5882352941,5.882352941180001,23.529411764699997,70.5882352941,8224.429688,8224.830078,7957.140137,8122.799805,420040000.0,8122.799805,1.0,1.0,0
2009-01-23,25.0,75.0,0.0,25.0,75.0,8108.790039,8152.589844,7909.029785,8077.560059,370510000.0,8077.560059,1.0,1.0,0
2009-01-26,50.0,50.0,16.6666666667,33.3333333333,50.0,8078.040039,8231.679688,8023.160156,8116.029785,316720000.0,8116.029785,1.0,1.0,1
2009-01-27,29.4117647059,70.5882352941,11.7647058824,17.6470588235,70.5882352941,8117.390137,8225.790039,8083.140137,8174.72998,247750000.0,8174.72998,1.0,1.0,1
2009-01-28,46.6666666667,53.3333333333,20.0,26.6666666667,53.3333333333,8175.930176000001,8405.870117,8175.930176000001,8375.450195,357940000.0,8375.450195,1.0,1.0,1
2009-01-29,35.7142857143,64.2857142857,14.2857142857,21.428571428599998,64.2857142857,8373.05957,8373.139648,8137.939941,8149.009765999999,247450000.0,8149.009765999999,1.0,1.0,0
2009-01-30,50.0,50.0,16.6666666667,33.3333333333,50.0,8149.009765999999,8195.759766,7961.919922,8000.859863,303160000.0,8000.859863,1.0,1.0,0
2009-02-02,50.0,50.0,20.0,30.0,50.0,8000.620117,8000.620117,7867.370117,7936.75,293890000.0,7936.75,2.0,1.0,0
2009-02-03,66.6666666667,33.3333333333,16.6666666667,50.0,33.3333333333,7936.990234000001,8111.569823999999,7905.52002,8078.359863,313090000.0,8078.359863,2.0,1.0,1
2009-02-04,55.5555555556,44.4444444444,22.2222222222,33.3333333333,44.4444444444,8070.319823999999,8162.149901999999,7929.259765999999,7956.660156,345520000.0,7956.660156,2.0,1.0,0
2009-02-05,38.4615384615,61.5384615385,15.3846153846,23.0769230769,61.5384615385,7954.830078,8107.830078,7845.310059,8063.069823999999,390980000.0,8063.069823999999,2.0,1.0,1
2009-02-06,62.5,37.5,31.25,31.25,37.5,8056.379883,8312.370117,8052.240234000001,8280.589844,396380000.0,8280.589844,2.0,1.0,1
2009-02-09,46.1538461538,53.8461538462,15.3846153846,30.7692307692,53.8461538462,8281.379883,8315.070312,8196.240234,8270.870117,289280000.0,8270.870117,2.0,1.0,0
2009-02-10,25.0,75.0,0.0,25.0,75.0,8269.360352,8269.44043,7848.740234000001,7888.879883,449890000.0,7888.879883,2.0,1.0,0
2009-02-11,43.75,56.25,12.5,31.25,56.25,7887.049805,7983.740234000001,7852.160156,7939.529785,270280000.0,7939.529785,2.0,1.0,1
2009-02-12,33.3333333333,66.6666666667,11.1111111111,22.2222222222,66.6666666667,7931.970215,7938.819823999999,7693.97998,7932.759765999999,331960000.0,7932.759765999999,2.0,1.0,0
2009-02-13,50.0,50.0,7.1428571428600005,42.8571428571,50.0,7933.0,7970.839844,7840.450195,7850.410156,251960000.0,7850.410156,2.0,1.0,0
2009-02-17,18.1818181818,81.8181818182,0.0,18.1818181818,81.8181818182,7845.629883,7845.629883,7551.009765999999,7552.600098000001,332850000.0,7552.600098000001,2.0,1.0,0
2009-02-18,43.75,56.25,18.75,25.0,56.25,7546.350098000001,7617.759765999999,7479.970215,7555.629883,268220000.0,7555.629883,2.0,1.0,1
2009-02-19,57.1428571429,42.8571428571,0.0,57.1428571429,42.8571428571,7555.22998,7614.970215,7447.549805,7465.950195,301480000.0,7465.950195,2.0,1.0,0
2009-02-20,33.3333333333,66.6666666667,0.0,33.3333333333,66.6666666667,7461.490234000001,7469.290039,7249.470215,7365.669922,584900000.0,7365.669922,2.0,1.0,0
2009-02-23,25.0,75.0,25.0,0.0,75.0,7365.990234000001,7441.02002,7105.939941,7114.779785,406150000.0,7114.779785,2.0,1.0,0
2009-02-24,33.3333333333,66.6666666667,16.6666666667,16.6666666667,66.6666666667,7115.339844,7378.970215,7114.299805,7350.939941,468010000.0,7350.939941,2.0,1.0,1
2009-02-25,6.666666666669999,93.3333333333,0.0,6.666666666669999,93.3333333333,7349.580078,7404.939941,7156.680176000001,7270.890137,450270000.0,7270.890137,2.0,1.0,0
2009-02-26,45.4545454545,54.5454545455,18.1818181818,27.2727272727,54.5454545455,7269.060059,7402.310059,7173.560059,7182.080078,321300000.0,7182.080078,2.0,1.0,0
2009-02-27,18.75,81.25,18.75,0.0,81.25,7180.970215,7195.459961,7033.620117,7062.930176000001,667950000.0,7062.930176000001,2.0,1.0,0
2009-03-02,25.0,75.0,12.5,12.5,75.0,7056.47998,7058.950195,6755.169922,6763.290039,568670000.0,6763.290039,3.0,1.0,0
2009-03-03,60.0,40.0,33.3333333333,26.6666666667,40.0,6764.810059,6855.290039,6705.629883,6726.02002,445280000.0,6726.02002,3.0,1.0,0
2009-03-04,38.4615384615,61.5384615385,15.3846153846,23.0769230769,61.5384615385,6726.5,6979.220215,6726.419922,6875.839844,464830000.0,6875.839844,3.0,1.0,1
2009-03-05,31.25,68.75,12.5,18.75,68.75,6874.009765999999,6874.009765999999,6544.100098,6594.439941,509770000.0,6594.439941,3.0,1.0,0
2009-03-06,46.6666666667,53.3333333333,20.0,26.6666666667,53.3333333333,6595.160156,6755.169922,6469.950195,6626.939941,425170000.0,6626.939941,3.0,1.0,1
2009-03-09,33.3333333333,66.6666666667,8.333333333330001,25.0,66.6666666667,6625.740234000001,6709.609863000001,6516.859863000001,6547.049805,365990000.0,6547.049805,3.0,1.0,0
2009-03-10,42.8571428571,57.1428571429,14.2857142857,28.5714285714,57.1428571429,6547.009765999999,6926.490234000001,6546.609863000001,6926.490234000001,640020000.0,6926.490234000001,3.0,1.0,1
2009-03-11,62.5,37.5,25.0,37.5,37.5,6923.129883,7015.060059,6867.549805,6930.399901999999,524430000.0,6930.399901999999,3.0,1.0,1
2009-03-12,44.4444444444,55.5555555556,22.2222222222,22.2222222222,55.5555555556,6932.390137,7184.709961,6872.25,7170.060059,488690000.0,7170.060059,3.0,1.0,1
2009-03-13,27.7777777778,72.2222222222,16.6666666667,11.1111111111,72.2222222222,7167.350098000001,7242.620117,7105.859863,7223.97998,479010000.0,7223.97998,3.0,1.0,1
2009-03-16,13.333333333299999,86.6666666667,0.0,13.333333333299999,86.6666666667,7225.330078,7392.910156,7206.850098000001,7216.970215,586970000.0,7216.970215,3.0,1.0,0
2009-03-17,53.3333333333,46.6666666667,13.333333333299999,40.0,46.6666666667,7218.0,7396.810059,7172.049805,7395.700195,391880000.0,7395.700195,3.0,1.0,1
2009-03-18,60.0,40.0,40.0,20.0,40.0,7395.700195,7571.640137,7257.27002,7486.580078,584110000.0,7486.580078,3.0,1.0,1
2009-03-19,28.5714285714,71.4285714286,14.2857142857,14.2857142857,71.4285714286,7489.680176000001,7548.459961,7369.259765999999,7400.799805,559920000.0,7400.799805,3.0,1.0,0
2009-03-20,38.4615384615,61.5384615385,23.0769230769,15.3846153846,61.5384615385,7402.310059,7460.930176000001,7257.830078,7278.379883,672950000.0,7278.379883,3.0,1.0,0
2009-03-23,60.0,40.0,26.6666666667,33.3333333333,40.0,7279.25,7780.720215,7278.779785,7775.859863,515600000.0,7775.859863,3.0,1.0,1
2009-03-24,55.5555555556,44.4444444444,0.0,55.5555555556,44.4444444444,7773.470215,7796.569823999999,7646.990234000001,7659.970215,379670000.0,7659.970215,3.0,1.0,0
2009-03-25,45.4545454545,54.5454545455,0.0,45.4545454545,54.5454545455,7659.810059,7863.629883,7550.060059,7749.810059,454090000.0,7749.810059,3.0,1.0,1
2009-03-26,41.6666666667,58.3333333333,16.6666666667,25.0,58.3333333333,7752.359863,7931.330078,7752.279785,7924.560059,397260000.0,7924.560059,3.0,1.0,1
2009-03-27,36.3636363636,63.636363636400006,0.0,36.3636363636,63.636363636400006,7922.569823999999,7922.569823999999,7735.950195,7776.180176000001,323650000.0,7776.180176000001,3.0,1.0,0
2009-03-30,21.428571428599998,78.5714285714,7.1428571428600005,14.2857142857,78.5714285714,7773.310059,7773.390137,7437.589844,7522.02002,383260000.0,7522.02002,3.0,1.0,0
2009-03-31,38.4615384615,61.5384615385,15.3846153846,23.0769230769,61.5384615385,7523.77002,7725.359863,7523.450195,7608.919922,399840000.0,7608.919922,3.0,1.0,1
2009-04-01,20.0,80.0,0.0,20.0,80.0,7606.129883,7789.0,7483.870117,7761.600098000001,361340000.0,7761.600098000001,4.0,2.0,1
2009-04-02,42.8571428571,57.1428571429,28.5714285714,14.2857142857,57.1428571429,7763.990234000001,8075.72998,7763.990234000001,7978.080078,442820000.0,7978.080078,4.0,2.0,1
2009-04-03,43.75,56.25,12.5,31.25,56.25,7980.629883,8019.5,7897.240234000001,8017.589844,308210000.0,8017.589844,4.0,2.0,1
